"metric","category","value_with_nmf","value_without_nmf","improvement"
"val_acc","ei",0.590652257204056,0.602338570356369,-0.0116863131523133
"val_acc","jp",0.587286755442619,0.590478140115738,-0.00319138467311864
"val_acc","si",0.694571208953857,0.695537650585175,-0.000966441631317205
"val_acc","tf",0.602864128351212,0.61506884098053,-0.0122047126293183
"val_f1","ei",0.553255659341812,0.535774612426758,0.0174810469150543
"val_f1","jp",0.364761877804995,0.12512297257781,0.239638905227184
"val_f1","si",0.206785759329796,0.064011275023222,0.142774484306574
"val_f1","tf",0.434766161441803,0.342650976777077,0.0921151846647262
"val_loss","ei",0.746858674287796,0.685944592952728,0.0609140813350678
"val_loss","jp",0.759110741317272,0.678941756486893,0.0801689848303795
"val_loss","si",0.685066145658493,0.614739561080933,0.0703265845775604
"val_loss","tf",0.747542560100555,0.672740113735199,0.0748024463653565
"val_precision","ei",0.593813902139664,0.610139167308807,-0.0163252651691437
"val_precision","jp",0.644106086343527,0.711160811781883,-0.0670547254383564
"val_precision","si",0.79215686917305,0.727344879508019,0.0648119896650314
"val_precision","tf",0.64499419927597,0.761200225353241,-0.11620602607727
"val_recall","ei",0.547500222921371,0.489484122395515,0.058016100525856
"val_recall","jp",0.304365038871765,0.0720422822982073,0.232322756573558
"val_recall","si",0.142979937046766,0.0344185354188085,0.108561401627958
"val_recall","tf",0.383595788478851,0.24749011695385,0.136105671525002
